進貨日期,客戶,鍛品來源,貨單編號,-,材質,品名,幾分 ×,規格,× 幾角, 數量 ,件數, 加工,圖號,下一關,備註,出貨狀況,K,B,出貨數量,數量尚有, 次批數量 ,出貨總數量,數量差,原因,總重,桶重,單重,換算數量
111/08/22,杰毅,昇達鑫,20220819024,-1,50BV30,短套,1/2 ×,10,,"                 2,200 ",4B,RO,,,,? 出貨完畢,1K,,,  ,,                                  -   ,,,,,,
111/08/22,杰毅,昇達鑫,20220819024,-2,50BV30,短套,1/2 ×,13,× 6R,"                 3,000 ",5B,RO,,,,? 出貨完畢,1K,,,  ,,                                  -   ,,,,,,
111/08/22,杰毅,昇達鑫,20220819024,-3,50BV30,短套,1/2 ×,15,× 6R,                     700 ,1B,RO雙溝,,杰毅,,? 出貨完畢,,1B,                716 ,  ,,                               716 ,,,,,,
111/08/22,杰毅,昇達鑫,20220819023,-1,50BV30,短套,1/2 ×,22,× 6R,"                 2,100 ",6B,RO雙溝,,,,? 出貨完畢,1K,,,  ,,                                  -   ,,,,,,
111/08/22,杰毅,昇達鑫,20220819023,-2,50BV30,短套,1/2 ×,30,× 6R,"                 1,120 ",7B,RO雙溝,,,,? 出貨完畢,1K,,,  ,,                                  -   ,,,,,,
111/08/22,杰毅,昇達鑫,20220819023,-3,50BV30,短套,1/2 ×,14,× 12R,"                 1,950 ",3B,RO,,,,? 出貨完畢,1K,,,  ,,                                  -   ,,,,,,
111/08/22,杰毅,昇達鑫,20220819023,-4,50BV30,短套,1/2 ×,21,× 12R,"                 3,200 ",8B,RO削花溝珠溝,,,,? 出貨完畢,1K,1B,"            3,242 ",  ,,"                           3,242 ",,,,,,
111/08/22,六宏,昇達鑫,AH1110819,-1,50BV30,短套,1/2 ×,29,× 梅,                     380 ,2B,反R,,得利,,? 出貨完畢,1K,,,  ,,                                  -   ,,,,,,
110/12/28,偉順,三仕,1101228101,-1,50BV30,短套,1/2 ×,E22,,                     450 ,12B,反R板溝,111/01/10,杰霖,110586,? 出貨完畢,,,,  ,,                                  -   ,  ,,,,,
111/05/04,偉順,入庫尚揚,1110504-111049,-1,50BV30,短套,1/2 ×,11,×  ,                     600 ,-,正R一溝,,偉順,111049,? 出貨完畢,,1B,,  ,,,,,,,,
111/02/09,偉順,昇達鑫,20220209020,-1,50BV30,短套,1/2 ×,18,× 6R,"                 1,652 ",7B,反R,,杰霖,111010,? 出貨完畢,,,,  ,,,  ,,,,,
111/01/05,偉順,三仕,1110104113,-1,50BV30,短套,1/2 ×,14,× 12R,"                 3,200 ",7B,正R,111/01/20,杰霖,111001,? 出貨完畢,,,,  ,,,  ,,,,,
111/01/06,偉順,三仕,1110105129,-1,50BV30,短套,1/2 ×,21,× 12R,"                 2,000 ",12B,直型,111/01/21,杰霖,111002,? 出貨完畢,,,,  ,,,  ,,,,,
111/08/19,維興,維興,2221394,-1,50BV30,S,1/2 ×,24,× 6R,"                 5,160 ",26B,短美單,,鴻輝,,? 出貨完畢,,,,  ,,,,,,,,
111/01/05,偉順,三仕,1110104113,-2,50BV30,短套,1/2 ×,22,× 12R,"                 1,000 ",10B,反R,,杰霖,111001,? 出貨完畢,,,,  ,,,  ,,,,,
111/01/06,偉順,三仕,1110105129,-2,50BV30,短套,1/2 ×,21,× 12R,"                 1,700 ",12B,直型小雙溝,,杰霖,111002,? 出貨完畢,,,,  ,,,  ,,,,,
111/01/11,偉順,三仕,1110111122,-1,50BV30,短套,1/2 ×,3/4,× 12R,"                 3,000 ",13B,直型,,杰霖,111004,? 出貨完畢,,,,  ,,,  ,,,,,
